SMILES,logK
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0738
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0847
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.101
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.107
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.116
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.125
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.125
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.105
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0901
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0627
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0003
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0008
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.005
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0104
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0256
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.041
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0573
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0722
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0867
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0992
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.108
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.117
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.123
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.123
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.11
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.0664
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1022
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,0.1998
